(23100000.0,1690.7671989845544)
(23400000.0,1703.4725870760203)
(23700000.0,1712.6228141959139)
(24000000.0,1720.8755058319193)
(24300000.0,1730.2244356170727)
(24600000.0,1736.9187966384447)
(24900000.0,1747.2534839064463)
(25200000.0,1757.6097691866744)
(25500000.0,1763.7974251446901)
(25800000.0,1771.10934799637)
(26100000.0,1775.7346436620503)
(26400000.0,1782.472148443768)
(26700000.0,1788.8003483225707)
(27000000.0,1795.1132813167087)
(27300000.0,1801.5382806325874)
(27600000.0,1809.353358490021)
(27900000.0,1818.8533288908707)
(28200000.0,1824.155823041343)
(28500000.0,1830.7090889161607)
(28800000.0,1834.8863439891047)
(29100000.0,1841.3380538200513)
(29400000.0,1846.5060001109512)
(29700000.0,1855.3710472731018)
(30000000.0,1859.083989157462)
(30300000.0,1863.9290073916848)
(30600000.0,1871.700422411228)
(30900000.0,1878.4584229234824)
(31200000.0,1882.7950323903358)
(31500000.0,1889.3428997519559)
(31800000.0,1895.4075265443023)
(32100000.0,1898.5389736996797)
(32400000.0,1902.680440270403)
(32700000.0,1909.3516923456602)
(33000000.0,1911.7774811664365)
(33300000.0,1915.5375009233846)
(33600000.0,1921.0876193182385)
(33900000.0,1928.399773895653)
(34200000.0,1935.347670769807)
(34500000.0,1939.8746308246941)
(34800000.0,1942.0178637524243)
(35100000.0,1947.9911671869147)
(35400000.0,1951.7258235212857)
(35700000.0,1954.1647188303086)
(36000000.0,1957.6076941530923)
(36300000.0,1958.9046617082256)
(36600000.0,1962.2386263347123)
(36900000.0,1966.3934372599797)
(37200000.0,1967.3056669757943)
(37500000.0,1969.752601603586)
(37800000.0,1973.938058379879)
(38100000.0,1977.8266026261133)
(38400000.0,1982.0876694542771)
(38700000.0,1988.079931800742)
(39000000.0,1991.0815666393023)
(39300000.0,1996.0274357226983)
(39600000.0,1996.3106167588235)
(39900000.0,2000.1663643932895)
(40200000.0,2005.6557612203592)
(40500000.0,2007.8054061386233)
(40800000.0,2009.1289691490963)
(41100000.0,2012.6353069966935)
(41400000.0,2017.5441084492923)
(41700000.0,2021.5074083995712)
(42000000.0,2024.1398960162176)
(42300000.0,2026.420063150685)
(42600000.0,2028.0475985616572)
(42900000.0,2029.3822506617216)
(43200000.0,2031.2426524613702)
(43500000.0,2033.5832067245763)
(43800000.0,2034.5387373803335)
(44100000.0,2036.5693193866537)
(44400000.0,2037.54423656089)
(44700000.0,2040.170844750943)
(45000000.0,2045.68378687447)
(45300000.0,2045.8067165183797)
(45600000.0,2049.9844256267365)
(45900000.0,2053.862629670846)
(46200000.0,2055.579975857877)
(46500000.0,2058.3910148191653)
(46800000.0,2059.522881698007)
(47100000.0,2060.9204078823777)
(47400000.0,2062.9965737721823)
(47700000.0,2064.3630361016294)
(48000000.0,2065.7484598820593)
(48300000.0,2065.8120956298108)
(48600000.0,2066.106674701883)
(48900000.0,2067.1507583403163)
(49200000.0,2069.2447302346313)
(49500000.0,2070.4983325407266)
(49800000.0,2072.2898108611557)
(50100000.0,2073.668054717817)
(50400000.0,2073.8358021643608)
(50700000.0,2075.2520109979514)
(51000000.0,2077.4576399741486)
(51300000.0,2080.583207227711)
(51600000.0,2081.6332519355283)
(51900000.0,2082.8556487129167)
(52200000.0,2084.150760710029)
(52500000.0,2085.60607899849)
(52800000.0,2087.674661617131)
(53100000.0,2087.7037937324867)
(53400000.0,2088.731288391326)
(53700000.0,2089.489502540507)
(54000000.0,2089.9549500389094)
(54300000.0,2092.037537043599)
(54600000.0,2092.479607714092)
(54900000.0,2093.533162879898)
(55200000.0,2093.5916150694907)
(55500000.0,2094.182384306312)
(55800000.0,2094.636991193332)
(56100000.0,2096.180013690316)
(56400000.0,2096.7215017105013)
(56700000.0,2096.8188399463456)
(57000000.0,2097.0320388868713)
(57300000.0,2098.673536053244)
(57600000.0,2101.0544316398427)
(57900000.0,2101.655134901667)
(58200000.0,2102.0738610000803)
(58500000.0,2104.2010345916974)
(58800000.0,2104.2010345916974)
(59100000.0,2104.333089881155)
(59400000.0,2104.900352306707)
(59700000.0,2105.82211390846)
(60000000.0,2106.250205926768)
